ID,Actual Loss,Predicted Loss
32206,1550.79,1686.0684542840318
22084,1042.49,1565.1074313439567
123866,5415.68,3162.9350579204133
125674,4002.5,2699.8723176049875
366475,1457.16,1317.1110734809313
220602,3964.57,4079.1844378731594
303564,3975.25,3241.715546866685
578991,964.82,2431.6645166172902
348795,1032.27,2376.6063133854773
380425,573.83,1378.7054261031985
287672,5384.47,2729.0947230801203
186927,1412.02,3467.163069905496
480325,1671.45,2079.5430258378465
454938,9115.87,9988.551664720257
9131,10799.93,8450.953633045567
214465,1508.59,2119.2201581763015
249829,1215.66,2351.944401072188
396811,2155.36,2655.9828047534297
15367,688.73,2263.9507536115416
349158,4215.81,4953.094952623973
56446,1440.45,2033.6080759403349
450647,1858.08,2305.313350011579
113073,3297.02,2701.946651484648
341465,704.5,962.3106857580756
562003,4674.51,5776.8809178657375
48477,5922.11,4123.855255937786
110130,2038.07,1997.588339585005
199233,4271.29,1866.4388555925266
432473,9949.85,4324.534776455127
517378,559.44,3035.2199391257864
384938,5956.16,6522.173461627537
304775,1272.19,2585.5434754134476
166477,4979.8,3195.2425601534346
191037,1890.34,2485.5420693673636
448357,822.83,2141.590779264539
127387,910.22,1598.3997830142157
124616,1373.12,1714.244507900169
538131,2941.55,3150.519036224954
165427,3741.36,3445.853209122961
203085,7069.16,4426.13699494323
430010,1491.94,1550.1702285576132
549214,2037.45,1649.6241295849256
313366,416.97,981.4189150860387
149970,2181.47,2408.0491223659146
479886,3689.42,2122.61547246753
148667,631.04,1488.1008927415887
298293,1428.65,1036.38832147276
371892,2334.21,1927.584129976411
306798,3079.27,3161.13070411181
507671,573.14,1401.8929674684384
536801,1379.54,2721.388334135713
560025,1045.95,2257.0872603101348
584519,3852.18,4220.878395454709
13093,1293.34,1265.0699341147752
539436,2178.19,4318.899023097103
50983,1444.66,3013.8204114510663
156010,4963.49,2757.048972011705
351933,1968.52,1971.271074069266
481794,3174.05,4014.822180744096
575226,263.31,1598.3919442929246
320297,1378.9,6824.22323288155
560691,2936.53,2191.9753401672
408588,2950.1,4098.655969395562
35069,2937.48,1093.1351295208826
431106,2267.33,1309.8322144609367
90933,1174.16,1518.7004825265185
60160,708.19,1809.38148312089
426838,5080.59,3384.4625084988124
311032,6384.45,5420.069824677138
29963,1764.23,1506.6003545910712
351869,1504.09,3150.639652753105
518541,1575.44,2254.7310006868665
531323,1616.94,1567.4515596495407
391568,2607.84,3803.802364794673
217506,3560.71,2836.4875745726886
353823,2536.49,2001.3482402717596
176727,5544.06,7560.170388899684
60900,16589.37,10498.147393857138
49243,1115.61,2159.6282601450653
369588,1644.65,1300.872441301458
65317,809.2,1483.7999626349097
71428,4598.66,4492.476373115232
471560,4019.58,3526.161754243145
492409,7189.93,6244.166607654353
3485,3052.68,7430.226760232137
398352,2022.51,1906.7616814798425
95191,1327.9,2690.9074518553152
370234,1919.99,2046.153042625716
150877,3011.0,3525.7330339702057
31590,718.73,1587.3492120959459
165843,1703.62,1458.7804313620782
511080,729.01,1211.3293257462667
460725,1936.49,1827.7476910646878
435357,2399.53,2710.591819404128
291744,1420.65,2053.003938337576
330121,1415.14,2471.253341903458
552047,1567.95,3731.7093559566306
165225,8063.31,7215.365124038577
53358,4768.7,3718.0254558328797
344510,3143.11,2203.732324442843
584944,7493.57,6578.157949022409
469595,1280.91,2096.6912668124205
44174,841.15,1380.2445063850887
7953,3416.3,3762.8844529971716
20774,2700.01,1862.6538348026295
486368,712.95,1310.915287246062
352179,2588.41,2065.4632361057115
461437,2660.57,2088.3750797985904
354198,1500.03,1904.2687135484366
89215,5643.67,1583.339220402513
374074,5084.88,2763.085982359056
50786,2577.13,1492.1912637869534
289122,5686.62,1939.8243302425626
147331,1688.71,1965.6959788945296
257895,1220.44,1310.0729736820174
249213,1317.35,1539.9525949475715
176728,2270.12,2226.813802142324
274887,1138.51,840.6722740705039
519443,696.0,1221.9348398700224
103667,3500.91,4660.5389833826
437299,802.08,2849.6101978350234
17158,4287.0,3748.736301771682
399367,2212.2,1688.2024979910793
132099,2483.0,1919.6641021086668
151298,4580.81,5339.411841540952
273991,3129.03,4459.708755381857
24828,3829.1,2827.1677344624118
140432,2774.91,2709.5050572905325
158260,3045.56,2597.0730707828543
104499,1893.93,1722.394424027878
328415,12318.2,6860.201050528085
276524,865.8,1787.4125029947736
223930,1967.06,4209.331362342689
569652,1118.52,3030.3418757636446
496496,1867.7,1391.7633923745886
412742,900.16,3120.6224860393004
384510,2543.5,3427.6896356197813
137247,969.88,1909.3797252333775
373334,1541.09,1723.75789613228
333504,525.78,1384.728370555932
64508,667.18,1530.2172211265092
428458,721.99,1303.3072735253886
408307,752.93,1548.5879202250003
393619,1492.18,1644.8747474516667
402561,8617.3,5977.010460835601
485760,8819.94,6504.4353213353525
523881,1310.72,2433.4711341328093
444719,8148.55,5657.8840366920795
41286,1521.49,2378.956797880364
207381,2963.9,5455.002657805961
78757,2997.28,4258.661608721322
274179,785.07,2252.7613188035316
577759,4563.13,4926.304572966913
168570,3607.19,3399.1440353906123
338373,10251.23,6644.887495950863
405055,9065.99,5269.1323161078435
449811,1255.38,2210.8917216536042
126240,449.12,1203.0908013637327
254301,1212.23,1903.8448851767644
318320,11029.86,8352.741441830032
536468,4209.93,3779.5689730658987
522767,3412.77,3463.4832911634358
19059,1075.46,1757.1348134235761
503392,1563.08,3368.773172493098
142274,1933.99,2398.927460751378
233929,4763.03,3810.616628917196
222087,4832.26,4874.806953738122
202657,3130.91,3566.680439325478
564630,594.35,1310.3584945018624
161578,942.7,2903.2631964498714
345417,1211.8,2178.4034143872886
256624,1780.43,2167.5401305422197
59785,3042.33,3369.2242931845876
446167,5123.46,4283.959645751927
468863,501.08,1179.463756350543
514841,2620.41,1202.7232443647222
485230,2327.99,2167.7571090952333
226638,2168.76,2388.0271948661834
329342,7774.71,8351.075170302764
129416,1366.96,1912.1270291854316
238354,631.84,1402.6038592608106
525671,835.33,2142.5505406947577
562930,921.25,1484.262766571794
418923,789.59,1767.920948141496
145039,3141.32,3113.2198311250413
250141,5279.37,3493.1953892341717
222537,1033.61,2294.454827099882
227179,3613.79,2678.490648486755
321713,8134.0,5984.759868450829
556203,4639.04,5844.516068614271
215698,6551.41,4071.4872548819903
146269,5842.11,3389.438917702737
396509,1367.86,1278.8610433576869
548761,1357.27,2576.018259336858
91235,1540.97,1571.4568812229497
193227,1905.42,1926.7499910401461
417184,2166.56,2233.6931207185726
253913,2796.96,1896.42507747429
26161,5889.4,5719.637699438763
